# gmaxvr     Total energy (Ha)          Delta E
1            -76.594058328344           --
2            -76.594058328344            0.000000000000
3            -76.594058328344            0.000000000000
4            -76.594058328344            0.000000000000
5            -76.594058328344            0.000000000000
6            -76.594058328344            0.000000000000
7            -76.594058328344            0.000000000000
8            -76.594058328344            0.000000000000
9            -76.594058328344            0.000000000000
10           -76.594058328344            0.000000000000
11           -76.594058328344            0.000000000000
12           -76.594058328344            0.000000000000
13           -76.594058328344            0.000000000000
14           -76.594058328344            0.000000000000
15           -76.594058328344            0.000000000000
16           -76.594058328344            0.000000000000
17           -76.594058328344            0.000000000000
18           -76.594058328344            0.000000000000
19           -76.594058328344            0.000000000000
20           -76.594058328344            0.000000000000
