#Name	Charge	Finite-Size	Chem Pot (B-rich)	Chem Pot (N-rich)	Total_energy(removed)	Total_energy(added)	Total Energy (eV)
Va_B1-O_N1      -3                2.431021       -2.563770       0.000000        -8.325982485      -4.94253897      -1884.741372
Va_B1-O_N1      -2                1.080454       -2.563770       0.000000        -8.325982485      -4.94253897      -1853.127255
Va_B1-O_N1      -1                0.270113       -2.563770       0.000000        -8.325982485      -4.94253897      -1861.972963
Va_B1-O_N1       0                0.000000       -2.563770       0.000000        -8.325982485      -4.94253897      -1870.397934
Va_B1-O_N1       1                0.270113       -2.563770       0.000000        -8.325982485      -4.94253897      -1877.677726
Va_B1-O_N1       2                1.080454       -2.563770       0.000000        -8.325982485      -4.94253897      -1884.802783
