# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 863
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.32915 eV
tot     0.004721       0.000158       0.000253       0.000012       0.992000

Band 14   energy = -6.28362 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000729       0.000000       0.000000       0.000000       0.000729       
45      0.000196       0.000000       0.000004       0.000000       0.000200       
107     0.000676       0.000000       0.000000       0.000000       0.000676       
151     0.000400       0.000000       0.000000       0.000000       0.000400       
178     0.000400       0.000000       0.000001       0.000000       0.000401       
188     0.000729       0.000000       0.000000       0.000000       0.000729       
tot     0.006445       0.000110       0.000117       0.000156       0.992000

Band 15   energy = -6.28327 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000400       0.000000       0.000000       0.000000       0.000400       
69      0.000400       0.000000       0.000000       0.000000       0.000400       
84      0.000400       0.000000       0.000000       0.000000       0.000400       
88      0.000361       0.000000       0.000000       0.000000       0.000361       
145     0.000400       0.000000       0.000000       0.000000       0.000400       
176     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.006379       0.000183       0.000186       0.000089       0.992000

Band 16   energy = -6.26491 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000400       0.000000       0.000000       0.000000       0.000400       
99      0.001089       0.000000       0.000000       0.000000       0.001089       
116     0.000729       0.000000       0.000000       0.000000       0.000729       
143     0.000484       0.000000       0.000004       0.000000       0.000488       
170     0.000484       0.000004       0.000000       0.000000       0.000488       
206     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.006557       0.000107       0.000073       0.000245       0.992000

Band 17   energy = -6.16385 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000225       0.000000       0.000000       0.000000       0.000225       
82      0.000256       0.000000       0.000000       0.000004       0.000260       
108     0.000484       0.000000       0.000000       0.000000       0.000484       
148     0.000196       0.000000       0.000000       0.000000       0.000196       
149     0.000225       0.000000       0.000000       0.000000       0.000225       
172     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004882       0.000049       0.000081       0.000209       0.992000

Band 18   energy = -6.16253 eV
atom    s              p_x            p_y            p_z            tot            
127     0.000256       0.000000       0.000000       0.000000       0.000256       
131     0.000289       0.000000       0.000000       0.000000       0.000289       
136     0.000256       0.000000       0.000000       0.000000       0.000256       
167     0.000256       0.000000       0.000000       0.000000       0.000256       
208     0.000324       0.000000       0.000000       0.000000       0.000324       
212     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.004896       0.000221       0.000199       0.000041       0.992000

Band 19   energy = -5.94589 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000169       0.000000       0.000000       0.000000       0.000169       
19      0.000400       0.000000       0.000001       0.000000       0.000401       
46      0.000400       0.000001       0.000000       0.000000       0.000401       
73      0.000400       0.000000       0.000004       0.000000       0.000404       
125     0.000841       0.000000       0.000000       0.000000       0.000841       
215     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005481       0.000102       0.000068       0.000202       0.993000

Band 20   energy = -5.42717 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000196       0.000025       0.000000       0.000000       0.000221       
68      0.000196       0.000000       0.000036       0.000000       0.000232       
159     0.000529       0.000000       0.000000       0.000000       0.000529       
184     0.000529       0.000000       0.000000       0.000000       0.000529       
205     0.000529       0.000000       0.000000       0.000000       0.000529       
215     0.002601       0.000000       0.000000       0.000009       0.002610       
tot     0.007922       0.000138       0.000127       0.000139       0.993000

Band 21   energy = -5.30632 eV
atom    s              p_x            p_y            p_z            tot            
84      0.000144       0.000000       0.000000       0.000000       0.000144       
88      0.000144       0.000000       0.000000       0.000000       0.000144       
116     0.000529       0.000000       0.000000       0.000000       0.000529       
145     0.000484       0.000000       0.000000       0.000000       0.000484       
176     0.000484       0.000000       0.000000       0.000000       0.000484       
188     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.005694       0.000111       0.000073       0.000220       0.993000

Band 22   energy = -5.26905 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000169       0.000000       0.000000       0.000001       0.000170       
23      0.000144       0.000000       0.000000       0.000000       0.000144       
35      0.000196       0.000000       0.000000       0.000000       0.000196       
60      0.000196       0.000000       0.000000       0.000000       0.000196       
98      0.000225       0.000000       0.000000       0.000000       0.000225       
124     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.004111       0.000051       0.000129       0.000116       0.993000

Band 23   energy = -5.26899 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000121       0.000000       0.000000       0.000000       0.000121       
8       0.000121       0.000000       0.000000       0.000000       0.000121       
68      0.000100       0.000000       0.000001       0.000000       0.000101       
87      0.000121       0.000000       0.000000       0.000000       0.000121       
89      0.000121       0.000000       0.000000       0.000000       0.000121       
144     0.000100       0.000001       0.000000       0.000000       0.000101       
tot     0.003976       0.000191       0.000230       0.000000       0.993000

Band 24   energy = -5.22741 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000289       0.000000       0.000000       0.000000       0.000289       
30      0.000289       0.000000       0.000000       0.000000       0.000289       
61      0.000289       0.000000       0.000000       0.000000       0.000289       
139     0.000144       0.000000       0.000000       0.000000       0.000144       
168     0.000144       0.000000       0.000000       0.000000       0.000144       
192     0.000144       0.000000       0.000000       0.000000       0.000144       
