# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
tot     0.006739       0.000133       0.000113       0.000181       0.992000

Band 14   energy = -6.18684 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000256       0.000000       0.000000       0.000001       0.000257       
87      0.000484       0.000000       0.000000       0.000000       0.000484       
150     0.000256       0.000000       0.000000       0.000000       0.000256       
157     0.000196       0.000000       0.000000       0.000000       0.000196       
184     0.000256       0.000004       0.000000       0.000000       0.000260       
203     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004894       0.000237       0.000000       0.000163       0.992000

Band 15   energy = -6.18684 eV
atom    s              p_x            p_y            p_z            tot            
69      0.000225       0.000000       0.000000       0.000000       0.000225       
89      0.000441       0.000000       0.000000       0.000000       0.000441       
159     0.000225       0.000000       0.000000       0.000000       0.000225       
175     0.000225       0.000000       0.000000       0.000000       0.000225       
186     0.000196       0.000000       0.000000       0.000000       0.000196       
199     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004810       0.000001       0.000145       0.000323       0.992000

Band 16   energy = -6.18300 eV
atom    s              p_x            p_y            p_z            tot            
74      0.000900       0.000000       0.000000       0.000000       0.000900       
95      0.000324       0.000000       0.000000       0.000000       0.000324       
126     0.000529       0.000000       0.000001       0.000000       0.000530       
137     0.000400       0.000000       0.000000       0.000000       0.000400       
166     0.000256       0.000000       0.000000       0.000001       0.000257       
213     0.000289       0.000004       0.000000       0.000000       0.000293       
tot     0.006241       0.000146       0.000137       0.000125       0.992000

Band 17   energy = -6.18300 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000784       0.000000       0.000000       0.000000       0.000784       
49      0.000324       0.000000       0.000000       0.000000       0.000324       
86      0.000289       0.000000       0.000000       0.000000       0.000289       
117     0.000441       0.000000       0.000000       0.000000       0.000441       
140     0.000256       0.000004       0.000000       0.000000       0.000260       
210     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.006268       0.000105       0.000119       0.000096       0.992000

Band 18   energy = -6.17828 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000169       0.000000       0.000000       0.000000       0.000169       
85      0.000169       0.000000       0.000000       0.000000       0.000169       
93      0.000169       0.000000       0.000000       0.000000       0.000169       
96      0.000169       0.000000       0.000000       0.000000       0.000169       
104     0.000169       0.000000       0.000000       0.000000       0.000169       
106     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.004674       0.000140       0.000250       0.000009       0.992000

Band 19   energy = -6.07495 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000169       0.000000       0.000000       0.000001       0.000170       
19      0.000484       0.000000       0.000000       0.000000       0.000484       
33      0.000169       0.000000       0.000000       0.000000       0.000169       
46      0.000484       0.000000       0.000000       0.000000       0.000484       
73      0.000484       0.000000       0.000001       0.000000       0.000485       
125     0.000784       0.000000       0.000000       0.000000       0.000784       
tot     0.005255       0.000090       0.000070       0.000215       0.992000

Band 20   energy = -5.48812 eV
atom    s              p_x            p_y            p_z            tot            
90      0.000625       0.000000       0.000000       0.000001       0.000626       
159     0.000484       0.000000       0.000000       0.000000       0.000484       
184     0.000484       0.000000       0.000000       0.000000       0.000484       
196     0.000256       0.000004       0.000004       0.000000       0.000264       
205     0.000484       0.000000       0.000000       0.000000       0.000484       
215     0.001849       0.000000       0.000000       0.000000       0.001849       
tot     0.007456       0.000169       0.000180       0.000179       0.993000

Band 21   energy = -5.24804 eV
atom    s              p_x            p_y            p_z            tot            
105     0.000081       0.000000       0.000000       0.000000       0.000081       
110     0.000100       0.000000       0.000000       0.000000       0.000100       
133     0.000100       0.000000       0.000000       0.000000       0.000100       
151     0.000121       0.000000       0.000000       0.000000       0.000121       
154     0.000100       0.000000       0.000000       0.000000       0.000100       
170     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.003925       0.000281       0.000000       0.000057       0.993000

Band 22   energy = -5.24803 eV
atom    s              p_x            p_y            p_z            tot            
101     0.000121       0.000000       0.000000       0.000000       0.000121       
114     0.000169       0.000000       0.000000       0.000000       0.000169       
