# EIG file: diamond.EIG   fdf file: diamond_scf.fdf
# Fermi energy (eV): -6.070552
# ElectronicTemperature: 0.025852 eV   OccupationFunction: FD   OccupationMPOrder: 1   degeneracy: 2.0
# k-index  spin  band  eigenvalue(eV)  occupation
     7     1     23       94.779785    0.000000
     7     1     24       95.358218    0.000000
     7     1     25      100.826295    0.000000
     7     1     26      173.249218    0.000000
     8     1      1      -22.596729    2.000000
     8     1      2      -19.805719    2.000000
     8     1      3      -12.883435    2.000000
     8     1      4      -11.036872    2.000000
     8     1      5        0.181752    0.000000
     8     1      6        2.705451    0.000000
     8     1      7        3.751289    0.000000
     8     1      8        8.070569    0.000000
     8     1      9       12.030376    0.000000
     8     1     10       19.085249    0.000000
     8     1     11       19.171313    0.000000
     8     1     12       31.220936    0.000000
     8     1     13       32.622450    0.000000
     8     1     14       35.840102    0.000000
     8     1     15       45.610465    0.000000
     8     1     16       50.385223    0.000000
     8     1     17       54.061113    0.000000
     8     1     18       56.142785    0.000000
     8     1     19       57.685120    0.000000
     8     1     20       64.928429    0.000000
     8     1     21       73.844291    0.000000
     8     1     22       89.322893    0.000000
     8     1     23       94.811756    0.000000
     8     1     24      102.045541    0.000000
     8     1     25      105.511924    0.000000
     8     1     26      145.034868    0.000000
     9     1      1      -21.690372    2.000000
     9     1      2      -19.360927    2.000000
     9     1      3      -14.851186    2.000000
     9     1      4      -11.922984    2.000000
     9     1      5       -0.763543    0.000000
     9     1      6        4.625016    0.000000
     9     1      7        5.675716    0.000000
     9     1      8        6.418116    0.000000
     9     1      9       10.919531    0.000000
     9     1     10       17.919407    0.000000
     9     1     11       19.984242    0.000000
     9     1     12       32.215219    0.000000
     9     1     13       33.410239    0.000000
     9     1     14       41.903638    0.000000
     9     1     15       44.626245    0.000000
     9     1     16       49.189292    0.000000
     9     1     17       54.493171    0.000000
     9     1     18       56.404794    0.000000
     9     1     19       59.373154    0.000000
     9     1     20       65.639438    0.000000
     9     1     21       70.391925    0.000000
     9     1     22       72.668286    0.000000
     9     1     23      107.725694    0.000000
     9     1     24      108.046556    0.000000
     9     1     25      116.009668    0.000000
     9     1     26      163.302262    0.000000
    10     1      1      -20.839189    2.000000
    10     1      2      -18.849324    2.000000
    10     1      3      -16.207162    2.000000
    10     1      4      -12.707654    2.000000
    10     1      5       -1.615136    0.000000
    10     1      6        3.390202    0.000000
    10     1      7        6.517276    0.000000
    10     1      8        7.576119    0.000000
    10     1      9       11.488316    0.000000
    10     1     10       17.126273    0.000000
    10     1     11       21.766510    0.000000
    10     1     12       32.958072    0.000000
    10     1     13       34.134686    0.000000
    10     1     14       44.241965    0.000000
    10     1     15       45.919058    0.000000
    10     1     16       48.714289    0.000000
    10     1     17       51.724858    0.000000
    10     1     18       59.164173    0.000000
    10     1     19       61.959394    0.000000
    10     1     20       64.135530    0.000000
    10     1     21       71.626824    0.000000
    10     1     22       77.823553    0.000000
    10     1     23      113.075783    0.000000
    10     1     24      115.613450    0.000000
    10     1     25      126.837810    0.000000
    10     1     26      177.212384    0.000000
    11     1      1      -20.035706    2.000000
    11     1      2      -19.657402    2.000000
    11     1      3      -15.555138    2.000000
    11     1      4      -13.251832    2.000000
    11     1      5       -2.191653    0.000000
    11     1      6        0.503612    0.000000
    11     1      7        7.924036    0.000000
    11     1      8        8.499666    0.000000
    11     1      9       13.173053    0.000000
    11     1     10       16.447433    0.000000
    11     1     11       24.365375    0.000000
    11     1     12       33.127507    0.000000
    11     1     13       34.659965    0.000000
    11     1     14       43.198749    0.000000
    11     1     15       45.881815    0.000000
    11     1     16       46.963777    0.000000
    11     1     17       57.796793    0.000000
    11     1     18       59.140090    0.000000
    11     1     19       59.585535    0.000000
    11     1     20       62.556812    0.000000
    11     1     21       72.425251    0.000000
    11     1     22       86.564179    0.000000
    11     1     23      116.304501    0.000000
    11     1     24      119.135412    0.000000
    11     1     25      125.529582    0.000000
    11     1     26      178.882131    0.000000
    12     1      1      -21.292548    2.000000
    12     1      2      -18.732491    2.000000
    12     1      3      -14.195030    2.000000
    12     1      4      -13.500057    2.000000
    12     1      5       -2.618724    0.000000
    12     1      6       -1.458829    0.000000
    12     1      7        8.561206    0.000000
    12     1      8        8.692818    0.000000
    12     1      9       14.898486    0.000000
    12     1     10       15.947985    0.000000
    12     1     11       27.874168    0.000000
    12     1     12       32.805837    0.000000
    12     1     13       34.716758    0.000000
    12     1     14       41.101767    0.000000
    12     1     15       44.290098    0.000000
    12     1     16       51.922172    0.000000
    12     1     17       51.934115    0.000000
    12     1     18       54.416183    0.000000
    12     1     19       62.517776    0.000000
    12     1     20       66.007695    0.000000
    12     1     21       67.362317    0.000000
    12     1     22       73.728382    0.000000
    12     1     23      107.044192    0.000000
    12     1     24      124.351976    0.000000
    12     1     25      124.849921    0.000000
    12     1     26      148.376490    0.000000
    13     1      1      -23.577434    2.000000
    13     1      2      -16.108879    2.000000
    13     1      3      -13.578885    2.000000
    13     1      4      -13.023483    2.000000
    13     1      5       -2.805112    0.000000
    13     1      6       -0.036136    0.000000
    13     1      7        7.171925    0.000000
    13     1      8        7.226422    0.000000
    13     1      9       14.665493    0.000000
    13     1     10       16.025396    0.000000
    13     1     11       27.240073    0.000000
    13     1     12       35.038056    0.000000
    13     1     13       35.176650    0.000000
    13     1     14       38.938552    0.000000
    13     1     15       45.821228    0.000000
    13     1     16       47.123903    0.000000
    13     1     17       48.449729    0.000000
    13     1     18       57.835584    0.000000
    13     1     19       65.014188    0.000000
    13     1     20       78.871110    0.000000
    13     1     21       84.439728    0.000000
    13     1     22       86.366958    0.000000
    13     1     23       97.362626    0.000000
    13     1     24      121.752890    0.000000
    13     1     25      124.522142    0.000000
    13     1     26      156.471518    0.000000
    14     1      1      -24.699752    2.000000
    14     1      2      -14.618561    2.000000
    14     1      3      -12.705211    2.000000
    14     1      4      -12.705182    2.000000
    14     1      5       -3.261585    0.000000
    14     1      6        0.654006    0.000000
    14     1      7        6.420310    0.000000
    14     1      8        6.420365    0.000000
    14     1      9       14.452187    0.000000
    14     1     10       16.547507    0.000000
    14     1     11       26.608004    0.000000
    14     1     12       36.845984    0.000000
    14     1     13       36.846001    0.000000
    14     1     14       41.668710    0.000000
    14     1     15       41.668769    0.000000
    14     1     16       42.733799    0.000000
    14     1     17       50.573513    0.000000
    14     1     18       55.705657    0.000000
    14     1     19       86.015694    0.000000
    14     1     20       87.772983    0.000000
    14     1     21       87.775680    0.000000
    14     1     22       93.972691    0.000000
    14     1     23       94.454171    0.000000
    14     1     24      125.992874    0.000000
    14     1     25      125.995365    0.000000
    14     1     26      139.943129    0.000000
    15     1      1      -25.484111    2.000000
    15     1      2      -13.861457    2.000000
    15     1      3      -12.166356    2.000000
    15     1      4      -12.095577    2.000000
    15     1      5       -2.646895    0.000000
    15     1      6        2.307541    0.000000
    15     1      7        5.014380    0.000000
    15     1      8        5.021050    0.000000
    15     1      9       14.598737    0.000000
    15     1     10       16.105340    0.000000
    15     1     11       24.401902    0.000000
    15     1     12       34.094243    0.000000
    15     1     13       36.105973    0.000000
    15     1     14       38.064314    0.000000
    15     1     15       43.122841    0.000000
    15     1     16       43.598938    0.000000
    15     1     17       52.732738    0.000000
    15     1     18       54.551772    0.000000
    15     1     19       78.274600    0.000000
    15     1     20       85.515457    0.000000
    15     1     21       87.223538    0.000000
    15     1     22       87.307395    0.000000
    15     1     23       99.008285    0.000000
    15     1     24      103.731943    0.000000
    15     1     25      127.310895    0.000000
    15     1     26      142.117985    0.000000
    16     1      1      -25.910471    2.000000
    16     1      2      -14.614265    2.000000
    16     1      3      -11.268421    2.000000
    16     1      4      -10.901176    2.000000
    16     1      5       -1.402612    0.000000
    16     1      6        3.224605    0.000000
    16     1      7        3.300905    0.000000
    16     1      8        4.652376    0.000000
    16     1      9       14.665430    0.000000
    16     1     10       15.561884    0.000000
    16     1     11       21.960918    0.000000
    16     1     12       27.993194    0.000000
    16     1     13       35.384978    0.000000
    16     1     14       39.493824    0.000000
    16     1     15       42.653104    0.000000
    16     1     16       44.993331    0.000000
    16     1     17       49.626182    0.000000
    16     1     18       58.480058    0.000000
    16     1     19       68.028987    0.000000
    16     1     20       76.700157    0.000000
    16     1     21       81.988807    0.000000
    16     1     22       83.179823    0.000000
    16     1     23       91.128055    0.000000
    16     1     24      101.612100    0.000000
    16     1     25      125.751412    0.000000
    16     1     26      188.215089    0.000000
    17     1      1      -25.973236    2.000000
    17     1      2      -15.725861    2.000000
    17     1      3      -10.395209    2.000000
    17     1      4       -9.843360    2.000000
    17     1      5       -0.132581    0.000000
    17     1      6        1.631126    0.000000
    17     1      7        1.716167    0.000000
    17     1      8        6.922202    0.000000
    17     1      9       15.047713    0.000000
    17     1     10       15.797921    0.000000
    17     1     11       19.760971    0.000000
    17     1     12       24.899471    0.000000
    17     1     13       35.025911    0.000000
    17     1     14       37.505414    0.000000
    17     1     15       44.452743    0.000000
    17     1     16       46.114711    0.000000
    17     1     17       49.353712    0.000000
    17     1     18       62.546187    0.000000
    17     1     19       65.101108    0.000000
    17     1     20       71.892291    0.000000
    17     1     21       79.292741    0.000000
    17     1     22       82.423090    0.000000
    17     1     23       87.758315    0.000000
    17     1     24       98.234409    0.000000
    17     1     25      114.525497    0.000000
    17     1     26      206.795277    0.000000
    18     1      1      -25.674796    2.000000
    18     1      2      -16.724371    2.000000
    18     1      3       -9.795308    2.000000
    18     1      4       -9.795254    2.000000
    18     1      5        0.772940    0.000000
    18     1      6        0.772980    0.000000
    18     1      7        1.036092    0.000000
    18     1      8        7.967422    0.000000
    18     1      9       15.065517    0.000000
    18     1     10       17.978516    0.000000
    18     1     11       17.978521    0.000000
    18     1     12       24.334961    0.000000
    18     1     13       34.970490    0.000000
    18     1     14       34.970508    0.000000
    18     1     15       46.562766    0.000000
    18     1     16       46.562817    0.000000
    18     1     17       49.525566    0.000000
    18     1     18       64.845746    0.000000
    18     1     19       64.845862    0.000000
    18     1     20       65.639816    0.000000
    18     1     21       81.244644    0.000000
    18     1     22       83.105760    0.000000
    18     1     23       83.106321    0.000000
    18     1     24       99.263386    0.000000
    18     1     25       99.264108    0.000000
    18     1     26      204.758293    0.000000
    19     1      1      -25.024659    2.000000
    19     1      2      -17.456354    2.000000
    19     1      3      -11.054871    2.000000
    19     1      4       -9.812811    2.000000
    19     1      5        0.894921    0.000000
    19     1      6        1.089545    0.000000
    19     1      7        1.806800    0.000000
    19     1      8        7.855952    0.000000
    19     1      9       14.492637    0.000000
    19     1     10       16.782649    0.000000
    19     1     11       19.530603    0.000000
    19     1     12       27.011083    0.000000
    19     1     13       33.870675    0.000000
    19     1     14       35.110220    0.000000
    19     1     15       46.831303    0.000000
