# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 864
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.38031 eV
tot     0.004656       0.000150       0.000249       0.000012       0.992000

Band 14   energy = -6.28707 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000361       0.000004       0.000000       0.000000       0.000365       
99      0.001089       0.000000       0.000000       0.000000       0.001089       
116     0.000961       0.000000       0.000000       0.000000       0.000961       
143     0.000529       0.000000       0.000004       0.000000       0.000533       
170     0.000529       0.000004       0.000000       0.000000       0.000533       
206     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.006823       0.000117       0.000085       0.000236       0.992000

Band 15   energy = -6.28429 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000529       0.000000       0.000000       0.000004       0.000533       
107     0.000784       0.000000       0.000000       0.000000       0.000784       
133     0.000324       0.000000       0.000000       0.000000       0.000324       
151     0.000361       0.000000       0.000000       0.000000       0.000361       
178     0.000400       0.000001       0.000001       0.000000       0.000402       
188     0.000841       0.000000       0.000000       0.000000       0.000841       
tot     0.006483       0.000110       0.000110       0.000206       0.992000

Band 16   energy = -6.28426 eV
atom    s              p_x            p_y            p_z            tot            
84      0.000484       0.000000       0.000000       0.000000       0.000484       
88      0.000400       0.000000       0.000000       0.000000       0.000400       
145     0.000400       0.000000       0.000000       0.000000       0.000400       
176     0.000529       0.000000       0.000000       0.000000       0.000529       
190     0.000400       0.000000       0.000000       0.000000       0.000400       
194     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.006515       0.000172       0.000191       0.000089       0.992000

Band 17   energy = -6.17402 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000225       0.000000       0.000001       0.000000       0.000226       
82      0.000196       0.000000       0.000000       0.000009       0.000205       
108     0.000441       0.000000       0.000000       0.000000       0.000441       
148     0.000196       0.000000       0.000000       0.000000       0.000196       
149     0.000196       0.000000       0.000000       0.000000       0.000196       
172     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004737       0.000039       0.000102       0.000218       0.992000

Band 18   energy = -6.17402 eV
atom    s              p_x            p_y            p_z            tot            
127     0.000196       0.000000       0.000000       0.000000       0.000196       
131     0.000324       0.000000       0.000000       0.000000       0.000324       
136     0.000256       0.000000       0.000000       0.000000       0.000256       
167     0.000225       0.000000       0.000000       0.000000       0.000225       
208     0.000289       0.000000       0.000000       0.000000       0.000289       
212     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004737       0.000249       0.000163       0.000049       0.992000

Band 19   energy = -6.00989 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000361       0.000000       0.000000       0.000000       0.000361       
46      0.000361       0.000004       0.000000       0.000000       0.000365       
49      0.000100       0.000000       0.000000       0.000004       0.000104       
73      0.000361       0.000000       0.000004       0.000000       0.000365       
125     0.000900       0.000000       0.000000       0.000000       0.000900       
215     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005162       0.000121       0.000074       0.000240       0.992000

Band 20   energy = -5.58967 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000144       0.000000       0.000000       0.000004       0.000148       
49      0.000144       0.000000       0.000000       0.000004       0.000148       
159     0.000676       0.000000       0.000000       0.000000       0.000676       
184     0.000676       0.000000       0.000000       0.000000       0.000676       
205     0.000676       0.000000       0.000000       0.000000       0.000676       
215     0.002704       0.000000       0.000000       0.000004       0.002708       
tot     0.008075       0.000170       0.000185       0.000152       0.993000

Band 21   energy = -5.29711 eV
atom    s              p_x            p_y            p_z            tot            
84      0.000169       0.000000       0.000000       0.000000       0.000169       
90      0.000169       0.000000       0.000000       0.000004       0.000173       
116     0.000529       0.000000       0.000000       0.000000       0.000529       
145     0.000484       0.000000       0.000000       0.000000       0.000484       
176     0.000484       0.000000       0.000000       0.000000       0.000484       
188     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.005688       0.000117       0.000057       0.000218       0.993000

Band 22   energy = -5.26895 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000196       0.000000       0.000000       0.000001       0.000197       
23      0.000169       0.000000       0.000000       0.000000       0.000169       
35      0.000169       0.000000       0.000000       0.000000       0.000169       
60      0.000196       0.000000       0.000000       0.000000       0.000196       
98      0.000196       0.000000       0.000000       0.000000       0.000196       
197     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.003999       0.000109       0.000048       0.000138       0.993000

Band 23   energy = -5.26894 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000169       0.000000       0.000000       0.000000       0.000169       
45      0.000144       0.000000       0.000000       0.000000       0.000144       
67      0.000144       0.000000       0.000000       0.000000       0.000144       
68      0.000169       0.000000       0.000004       0.000000       0.000173       
89      0.000196       0.000000       0.000000       0.000000       0.000196       
144     0.000144       0.000001       0.000000       0.000000       0.000145       
tot     0.004015       0.000094       0.000364       0.000001       0.993000

Band 24   energy = -5.21358 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000324       0.000000       0.000000       0.000000       0.000324       
30      0.000324       0.000000       0.000000       0.000000       0.000324       
61      0.000324       0.000000       0.000000       0.000000       0.000324       
139     0.000144       0.000000       0.000000       0.000000       0.000144       
168     0.000144       0.000000       0.000000       0.000000       0.000144       
192     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.004168       0.000099       0.000031       0.000320       0.993000

Band 25   energy = -5.20577 eV
atom    s              p_x            p_y            p_z            tot            
29      0.000121       0.000000       0.000004       0.000000       0.000125       
63      0.000121       0.000000       0.000004       0.000000       0.000125       
92      0.000121       0.000000       0.000001       0.000000       0.000122       
94      0.000169       0.000000       0.000000       0.000000       0.000169       
95      0.000169       0.000000       0.000000       0.000000       0.000169       
164     0.000144       0.000000       0.000001       0.000000       0.000145       
tot     0.004250       0.000175       0.000277       0.000000       0.993000

Band 26   energy = -5.20576 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000196       0.000000       0.000000       0.000004       0.000200       
86      0.000256       0.000000       0.000000       0.000000       0.000256       
103     0.000256       0.000000       0.000000       0.000000       0.000256       
146     0.000169       0.000000       0.000000       0.000000       0.000169       
171     0.000169       0.000000       0.000000       0.000000       0.000169       
192     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.004206       0.000089       0.000111       0.000158       0.993000

Band 27   energy = -4.97998 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000196       0.000000       0.000001       0.000000       0.000197       
51      0.000196       0.000000       0.000004       0.000000       0.000200       
137     0.000484       0.000000       0.000000       0.000001       0.000485       
162     0.000484       0.000000       0.000000       0.000001       0.000485       
210     0.000484       0.000000       0.000000       0.000000       0.000484       
215     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005453       0.000184       0.000094       0.000347       0.993000

Band 28   energy = -4.46162 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000081       0.000000       0.000016       0.000000       0.000097       
13      0.000081       0.000016       0.000000       0.000000       0.000097       
50      0.000081       0.000000       0.000016       0.000000       0.000097       
77      0.000081       0.000016       0.000000       0.000000       0.000097       
99      0.000400       0.000000       0.000000       0.000000       0.000400       
215     0.000676       0.000000       0.000000       0.000000       0.000676       
tot     0.003566       0.000268       0.000276       0.000193       0.993000

Band 29   energy = -4.34087 eV
atom    s              p_x            p_y            p_z            tot            
20      0.000121       0.000000       0.000004       0.000000       0.000125       
52      0.000225       0.000000       0.000000       0.000000       0.000225       
131     0.000225       0.000001       0.000000       0.000000       0.000226       
152     0.000144       0.000000       0.000004       0.000000       0.000148       
170     0.000225       0.000000       0.000000       0.000000       0.000225       
208     0.000100       0.000000       0.000001       0.000001       0.000102       
tot     0.003337       0.000121       0.000138       0.000515       0.993000

Band 30   energy = -4.34087 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000196       0.000000       0.000001       0.000000       0.000197       
47      0.000121       0.000000       0.000004       0.000000       0.000125       
75      0.000100       0.000000       0.000000       0.000000       0.000100       
108     0.000169       0.000000       0.000000       0.000000       0.000169       
149     0.000121       0.000000       0.000001       0.000000       0.000122       
206     0.000169       0.000000       0.000001       0.000000       0.000170       
tot     0.003357       0.000413       0.000401       0.000007       0.993000

Band 31   energy = -4.31999 eV
atom    s              p_x            p_y            p_z            tot            
47      0.000144       0.000000       0.000000       0.000000       0.000144       
76      0.000121       0.000000       0.000001       0.000000       0.000122       
105     0.000144       0.000001       0.000000       0.000000       0.000145       
128     0.000196       0.000000       0.000000       0.000000       0.000196       
149     0.000144       0.000000       0.000001       0.000000       0.000145       
181     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.003436       0.000109       0.000114       0.000586       0.993000

Band 32   energy = -4.31998 eV
atom    s              p_x            p_y            p_z            tot            
20      0.000144       0.000000       0.000001       0.000000       0.000145       
82      0.000169       0.000001       0.000004       0.000000       0.000174       
117     0.000225       0.000000       0.000000       0.000000       0.000225       
152     0.000144       0.000000       0.000001       0.000000       0.000145       
180     0.000144       0.000000       0.000000       0.000000       0.000144       
214     0.000256       0.000000       0.000001       0.000000       0.000257       
tot     0.003425       0.000398       0.000401       0.000038       0.993000

Band 33   energy = -4.27765 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000256       0.000000       0.000000       0.000001       0.000257       
46      0.000081       0.000025       0.000000       0.000000       0.000106       
