# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 861
# natomwfc = 864
# n_atoms  = 216

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.14458 eV
tot     0.004531       0.000142       0.000040       0.000143       0.992000

Band 14   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
38      0.000196       0.000000       0.000000       0.000000       0.000196       
68      0.000196       0.000000       0.000000       0.000000       0.000196       
90      0.000144       0.000000       0.000000       0.000000       0.000144       
98      0.000169       0.000000       0.000000       0.000000       0.000169       
146     0.000225       0.000000       0.000000       0.000000       0.000225       
189     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.004224       0.000233       0.000121       0.000044       0.992000

Band 15   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000324       0.000000       0.000000       0.000000       0.000324       
44      0.000361       0.000000       0.000000       0.000000       0.000361       
66      0.000225       0.000000       0.000000       0.000000       0.000225       
114     0.000289       0.000000       0.000000       0.000000       0.000289       
156     0.000225       0.000000       0.000000       0.000000       0.000225       
205     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004996       0.000117       0.000207       0.000057       0.992000

Band 16   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
25      0.000169       0.000000       0.000000       0.000000       0.000169       
52      0.000169       0.000004       0.000000       0.000000       0.000173       
59      0.000289       0.000000       0.000000       0.000000       0.000289       
106     0.000169       0.000004       0.000000       0.000000       0.000173       
133     0.000441       0.000000       0.000000       0.000000       0.000441       
167     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.004884       0.000197       0.000111       0.000042       0.992000

Band 17   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000225       0.000000       0.000000       0.000000       0.000225       
87      0.000169       0.000000       0.000000       0.000000       0.000169       
98      0.000256       0.000000       0.000000       0.000000       0.000256       
170     0.000196       0.000000       0.000000       0.000000       0.000196       
180     0.000169       0.000000       0.000000       0.000000       0.000169       
186     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004695       0.000000       0.000288       0.000225       0.992000

Band 18   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
39      0.000361       0.000000       0.000000       0.000000       0.000361       
67      0.000324       0.000000       0.000000       0.000000       0.000324       
79      0.000289       0.000000       0.000000       0.000000       0.000289       
121     0.000256       0.000000       0.000000       0.000000       0.000256       
157     0.000324       0.000000       0.000000       0.000000       0.000324       
200     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.005648       0.000147       0.000058       0.000141       0.992000

Band 19   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000484       0.000000       0.000000       0.000000       0.000484       
56      0.000361       0.000000       0.000000       0.000000       0.000361       
103     0.000400       0.000000       0.000000       0.000000       0.000400       
127     0.000324       0.000000       0.000000       0.000000       0.000324       
148     0.000324       0.000000       0.000000       0.000000       0.000324       
164     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.006209       0.000105       0.000098       0.000247       0.992000

Band 20   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000081       0.000000       0.000000       0.000000       0.000081       
23      0.000081       0.000000       0.000000       0.000000       0.000081       
35      0.000081       0.000000       0.000000       0.000000       0.000081       
38      0.000081       0.000000       0.000000       0.000000       0.000081       
60      0.000081       0.000000       0.000000       0.000000       0.000081       
72      0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.003160       0.000000       0.000832       0.000000       0.993000

Band 21   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000049       0.000000       0.000000       0.000000       0.000049       
20      0.000049       0.000000       0.000000       0.000000       0.000049       
131     0.000064       0.000000       0.000000       0.000000       0.000064       
143     0.000064       0.000000       0.000000       0.000000       0.000064       
168     0.000064       0.000000       0.000000       0.000000       0.000064       
216     0.000064       0.000000       0.000000       0.000000       0.000064       
tot     0.002700       0.000001       0.000001       0.000350       0.993000

Band 22   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000121       0.000000       0.000000       0.000000       0.000121       
54      0.000121       0.000000       0.000000       0.000000       0.000121       
76      0.000121       0.000000       0.000000       0.000000       0.000121       
97      0.000121       0.000000       0.000000       0.000000       0.000121       
123     0.000081       0.000000       0.000000       0.000000       0.000081       
184     0.000081       0.000000       0.000000       0.000001       0.000082       
tot     0.003248       0.000070       0.000012       0.000325       0.993000

Band 23   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000081       0.000000       0.000000       0.000000       0.000081       
40      0.000081       0.000000       0.000000       0.000000       0.000081       
119     0.000100       0.000000       0.000000       0.000000       0.000100       
158     0.000100       0.000000       0.000000       0.000000       0.000100       
183     0.000100       0.000000       0.000000       0.000000       0.000100       
204     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003029       0.000747       0.000000       0.000000       0.993000

Band 24   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
24      0.000100       0.000000       0.000000       0.000000       0.000100       
36      0.000100       0.000000       0.000000       0.000000       0.000100       
58      0.000100       0.000000       0.000000       0.000000       0.000100       
106     0.000100       0.000000       0.000000       0.000000       0.000100       
112     0.000081       0.000000       0.000000       0.000000       0.000081       
135     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.003205       0.000678       0.000000       0.000000       0.993000

Band 25   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000144       0.000000       0.000000       0.000000       0.000144       
41      0.000144       0.000000       0.000000       0.000000       0.000144       
110     0.000169       0.000000       0.000000       0.000000       0.000169       
149     0.000169       0.000000       0.000000       0.000000       0.000169       
174     0.000169       0.000000       0.000000       0.000000       0.000169       
195     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.003620       0.000120       0.000020       0.000228       0.993000

Band 26   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000049       0.000000       0.000000       0.000000       0.000049       
10      0.000049       0.000000       0.000000       0.000000       0.000049       
21      0.000064       0.000000       0.000000       0.000000       0.000064       
33      0.000064       0.000000       0.000000       0.000000       0.000064       
55      0.000064       0.000000       0.000000       0.000000       0.000064       
103     0.000064       0.000000       0.000000       0.000000       0.000064       
tot     0.002936       0.000000       0.000001       0.000310       0.993000

Band 27   energy = -5.13937 eV
atom    s              p_x            p_y            p_z            tot            
115     0.000064       0.000000       0.000000       0.000000       0.000064       
118     0.000081       0.000000       0.000000       0.000000       0.000081       
130     0.000064       0.000000       0.000000       0.000000       0.000064       
157     0.000081       0.000000       0.000000       0.000000       0.000081       
182     0.000081       0.000000       0.000000       0.000000       0.000081       
203     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.003160       0.000000       0.000739       0.000000       0.993000

Band 28   energy = -4.13771 eV
atom    s              p_x            p_y            p_z            tot            
13      0.000121       0.000000       0.000000       0.000000       0.000121       
52      0.000121       0.000000       0.000000       0.000000       0.000121       
77      0.000121       0.000000       0.000000       0.000000       0.000121       
98      0.000121       0.000000       0.000000       0.000000       0.000121       
111     0.000121       0.000000       0.000000       0.000000       0.000121       
150     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.002930       0.000228       0.000243       0.000024       0.993000

Band 29   energy = -4.13771 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000064       0.000000       0.000000       0.000000       0.000064       
12      0.000064       0.000000       0.000000       0.000000       0.000064       
23      0.000064       0.000000       0.000000       0.000000       0.000064       
35      0.000064       0.000000       0.000000       0.000000       0.000064       
49      0.000064       0.000000       0.000000       0.000000       0.000064       
51      0.000064       0.000000       0.000000       0.000000       0.000064       
tot     0.002858       0.000184       0.000147       0.000216       0.993000

Band 30   energy = -4.13771 eV
atom    s              p_x            p_y            p_z            tot            
7       0.000049       0.000000       0.000000       0.000000       0.000049       
11      0.000049       0.000000       0.000000       0.000000       0.000049       
37      0.000049       0.000000       0.000000       0.000000       0.000049       
50      0.000049       0.000000       0.000000       0.000000       0.000049       
71      0.000049       0.000000       0.000000       0.000000       0.000049       
75      0.000049       0.000000       0.000000       0.000000       0.000049       
tot     0.002352       0.000143       0.000122       0.000103       0.993000

Band 31   energy = -4.13771 eV
atom    s              p_x            p_y            p_z            tot            
24      0.000049       0.000000       0.000000       0.000000       0.000049       
36      0.000049       0.000000       0.000000       0.000000       0.000049       
58      0.000049       0.000000       0.000000       0.000000       0.000049       
106     0.000049       0.000000       0.000000       0.000000       0.000049       
119     0.000049       0.000000       0.000000       0.000000       0.000049       
158     0.000049       0.000000       0.000000       0.000000       0.000049       
tot     0.001941       0.000091       0.000090       0.000072       0.993000

Band 32   energy = -4.13771 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000081       0.000000       0.000000       0.000000       0.000081       
38      0.000081       0.000000       0.000000       0.000000       0.000081       
72      0.000081       0.000000       0.000000       0.000000       0.000081       
84      0.000081       0.000000       0.000000       0.000000       0.000081       
130     0.000081       0.000000       0.000000       0.000000       0.000081       
142     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.002698       0.000080       0.000063       0.000314       0.993000

Band 33   energy = -4.13771 eV
atom    s              p_x            p_y            p_z            tot            
3       0.000049       0.000000       0.000000       0.000000       0.000049       
25      0.000049       0.000000       0.000000       0.000000       0.000049       
28      0.000049       0.000000       0.000000       0.000000       0.000049       
42      0.000049       0.000000       0.000000       0.000000       0.000049       
62      0.000049       0.000000       0.000000       0.000000       0.000049       
64      0.000049       0.000000       0.000000       0.000000       0.000049       
tot     0.002568       0.000224       0.000336       0.000000       0.993000

Band 34   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000225       0.000000       0.000009       0.000000       0.000234       
20      0.000361       0.000000       0.000016       0.000000       0.000377       
31      0.000441       0.000000       0.000000       0.000009       0.000450       
104     0.000484       0.000000       0.000000       0.000000       0.000484       
168     0.000676       0.000000       0.000004       0.000001       0.000681       
176     0.000256       0.000001       0.000004       0.000000       0.000261       
tot     0.004801       0.000110       0.000419       0.000436       0.994000

Band 35   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000256       0.000000       0.000000       0.000049       0.000305       
35      0.000196       0.000025       0.000000       0.000000       0.000221       
69      0.001024       0.000000       0.000016       0.000000       0.001040       
116     0.001024       0.000000       0.000016       0.000000       0.001040       
170     0.000196       0.000000       0.000000       0.000000       0.000196       
201     0.000144       0.000049       0.000000       0.000000       0.000193       
tot     0.005109       0.000203       0.000446       0.000394       0.994000

Band 36   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
3       0.000225       0.000009       0.000000       0.000000       0.000234       
75      0.000324       0.000000       0.000000       0.000009       0.000333       
105     0.000225       0.000000       0.000000       0.000000       0.000225       
107     0.000225       0.000000       0.000001       0.000000       0.000226       
136     0.000529       0.000000       0.000000       0.000000       0.000529       
162     0.000576       0.000000       0.000000       0.000004       0.000580       
tot     0.004398       0.000133       0.000224       0.000505       0.994000

Band 37   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000225       0.000000       0.000000       0.000000       0.000225       
47      0.000196       0.000000       0.000049       0.000000       0.000245       
72      0.000256       0.000009       0.000000       0.000000       0.000265       
100     0.000225       0.000000       0.000000       0.000000       0.000225       
155     0.000256       0.000000       0.000000       0.000009       0.000265       
204     0.000441       0.000000       0.000016       0.000000       0.000457       
tot     0.004097       0.000118       0.000619       0.000232       0.994000

Band 38   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000225       0.000004       0.000001       0.000036       0.000266       
30      0.000144       0.000000       0.000000       0.000000       0.000144       
61      0.000256       0.000000       0.000000       0.000000       0.000256       
73      0.000289       0.000000       0.000009       0.000001       0.000299       
123     0.001296       0.000000       0.000000       0.000000       0.001296       
160     0.000225       0.000001       0.000004       0.000004       0.000234       
tot     0.004476       0.000155       0.000273       0.000396       0.994000

Band 39   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000400       0.000004       0.000000       0.000000       0.000404       
29      0.000121       0.000000       0.000025       0.000001       0.000147       
150     0.000256       0.000004       0.000000       0.000004       0.000264       
183     0.000121       0.000000       0.000000       0.000004       0.000125       
190     0.000576       0.000000       0.000000       0.000000       0.000576       
201     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004065       0.000441       0.000270       0.000171       0.994000

Band 40   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000289       0.000000       0.000000       0.000000       0.000289       
65      0.000196       0.000000       0.000016       0.000000       0.000212       
96      0.000196       0.000000       0.000001       0.000000       0.000197       
112     0.000529       0.000000       0.000000       0.000000       0.000529       
141     0.000289       0.000000       0.000000       0.000000       0.000289       
173     0.000121       0.000000       0.000000       0.000009       0.000130       
tot     0.003887       0.000469       0.000205       0.000191       0.994000

Band 41   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
50      0.000400       0.000000       0.000000       0.000001       0.000401       
59      0.000225       0.000000       0.000009       0.000000       0.000234       
113     0.000289       0.000000       0.000004       0.000001       0.000294       
158     0.000576       0.000000       0.000001       0.000000       0.000577       
180     0.000256       0.000000       0.000000       0.000004       0.000260       
183     0.000289       0.000000       0.000001       0.000000       0.000290       
tot     0.004503       0.000365       0.000447       0.000136       0.994000

Band 42   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
32      0.000400       0.000000       0.000000       0.000000       0.000400       
