# Tetrahedron method
       -0.9858484344        0.0000000000
       -0.7664056623        0.0000000000
       -0.5469628901        0.0000000000
       -0.3275201180        0.0000000000
       -0.1080773458        0.0000000000
        0.1113654263        0.0000000000
        0.3308081985        0.0000000000
        0.5502509706        0.0000000000
        0.7696937427        0.0000000000
        0.9891365149        0.0000000000
        1.2085792870        0.0000000000
        1.4280220592        0.0000000000
        1.6474648313        0.0000000000
        1.8669076035        0.0000000000
        2.0863503756        0.0000000000
        2.3057931478        0.0000000000
        2.5252359199        0.0000000000
        2.7446786921        0.0001246371
        2.9641214642        0.0005036537
        3.1835642364        0.0008903282
        3.4030070085        0.0012846606
        3.6224497806        0.0016866510
        3.8418925528        0.0020962993
        4.0613353249        0.0025136055
        4.2807780971        0.0029385697
        4.5002208692        0.0033711918
        4.7196636414        0.0038847572
        4.9391064135        0.0044249872
        5.1585491857        0.0049726136
        5.3779919578        0.0055598464
        5.5974347300        0.0062070254
        5.8168775021        0.0068690421
        6.0363202743        0.0075347386
        6.2557630464        0.0082041151
        6.4752058186        0.0088825200
        6.6946485907        0.0095950181
        6.9140913628        0.0103448000
        7.1335341350        0.0111318659
        7.3529769071        0.0119688215
        7.5724196793        0.0128680869
        7.7918624514        0.0138261847
        8.0113052236        0.0147963342
        8.2307479957        0.0157638334
        8.4501907679        0.0167463821
        8.6696335400        0.0177480504
        8.8890763122        0.0188864841
        9.1085190843        0.0201300453
        9.3279618565        0.0213761881
        9.5474046286        0.0226249124
        9.7668474007        0.0239115376
        9.9862901729        0.0252513175
       10.2057329450        0.0266204157
       10.4251757172        0.0280673572
       10.6446184893        0.0296036920
       10.8640612615        0.0312246481
       11.0835040336        0.0328964863
       11.3029468058        0.0346234891
       11.5223895779        0.0364100107
       11.7418323501        0.0382683957
       11.9612751222        0.0402834891
       12.1807178944        0.0423656979
       12.4001606665        0.0446999047
       12.6196034387        0.0471610508
       12.8390462108        0.0496117818
       13.0584889829        0.0521160084
       13.2779317551        0.0546765118
       13.4973745272        0.0573115311
       13.7168172994        0.0602660085
       13.9362600715        0.0633953066
       14.1557028437        0.0667103565
       14.3751456158        0.0702251409
       14.5945883880        0.0740006255
       14.8140311601        0.0779722846
       15.0334739323        0.0821337236
       15.2529167044        0.0867728376
       15.4723594766        0.0920660066
       15.6918022487        0.0979947982
       15.9112450208        0.1042930452
       16.1306877930        0.1110950217
       16.3501305651        0.1190551329
       16.5695733373        0.1305111226
       16.7890161094        0.1455235719
       17.0084588816        0.1608126301
       17.2279016537        0.1650824590
       17.4473444259        0.1666528693
       17.6667871980        0.1686598552
       17.8862299702        0.1705576187
       18.1056727423        0.1725578956
       18.3251155145        0.1732091384
       18.5445582866        0.1747020332
       18.7640010588        0.1766955398
       18.9834438309        0.1778100663
       19.2028866030        0.1790086462
       19.4223293752        0.1806383829
       19.6417721473        0.1822388671
       19.8612149195        0.1835397643
       20.0806576916        0.1845819952
       20.3001004638        0.1856600057
       20.5195432359        0.1871345020
       20.7389860081        0.1886196182
       20.9584287802        0.1898354930
       21.1778715524        0.1906867919
       21.3973143245        0.1917413257
       21.6167570967        0.1930507185
       21.8361998688        0.1942103673
       22.0556426410        0.1949769968
       22.2750854131        0.1958972647
       22.4945281852        0.1969109399
       22.7139709574        0.1964803081
       22.9334137295        0.1968895438
       23.1528565017        0.2014048150
       23.3722992738        0.2073925943
       23.5917420460        0.2037154699
       23.8111848181        0.1749386636
       24.0306275903        0.1630730841
       24.2500703624        0.1550608900
       24.4695131346        0.1467018859
       24.6889559067        0.1384645460
       24.9083986789        0.1357743541
       25.1278414510        0.1299775698
       25.3472842231        0.1299048881
       25.5667269953        0.1288098465
       25.7861697674        0.1290136504
       26.0056125396        0.1337583298
       26.2250553117        0.1388483573
       26.4444980839        0.1414019091
       26.6639408560        0.1420344879
       26.8833836282        0.1489977935
       27.1028264003        0.1559801978
       27.3222691725        0.1714607724
       27.5417119446        0.1491425293
       27.7611547168        0.1374770455
       27.9805974889        0.1279374204
       28.2000402611        0.1201651938
       28.4194830332        0.1201617839
       28.6389258053        0.1332960685
       28.8583685775        0.1503628972
       29.0778113496        0.1729262293
       29.2972541218        0.2102618844
       29.5166968939        0.2820759665
       29.7361396661        0.4559264593
       29.9555824382        0.4331143014
       30.1750252104        0.2399311975
       30.3944679825        0.1381280960
       30.6139107547        0.1306751579
       30.8333535268        0.1370683533
       31.0527962990        0.1463844618
       31.2722390711        0.1562694500
       31.4916818432        0.1833242364
       31.7111246154        0.1618708457
       31.9305673875        0.1407861551
       32.1500101597        0.1340549225
       32.3694529318        0.1327515434
       32.5888957040        0.1349666694
       32.8083384761        0.1415616320
       33.0277812483        0.1609539902
       33.2472240204        0.2020954036
       33.4666667926        0.2588180872
       33.6861095647        0.3262970897
       33.9055523369        0.3789303614
       34.1249951090        0.4333599872
       34.3444378812        0.4898857403
       34.5638806533        0.4138138893
       34.7833234254        0.3810735175
       35.0027661976        0.3921142187
       35.2222089697        0.4374557566
       35.4416517419        0.4912804207
       35.6610945140        0.5321466604
       35.8805372862        0.7646772859
       36.0999800583        0.6517987877
       36.3194228305        0.6952530844
       36.5388656026        0.7820976249
       36.7583083748        0.7724745893
       36.9777511469        0.5397945356
       37.1971939191        0.4465261583
       37.4166366912        0.4058328182
       37.6360794633        0.3725047443
       37.8555222355        0.3303733581
       38.0749650076        0.2842454945
       38.2944077798        0.2538843682
       38.5138505519        0.2446513536
       38.7332933241        0.4971065492
       38.9527360962        0.1924413759
       39.1721788684        0.0475645104
       39.3916216405        0.0000000000
       39.6110644127        0.0000000000
       39.8305071848        0.0000000000
       40.0499499570        0.0000000000
       40.2693927291        0.0000000000
       40.4888355013        0.0000000000
       40.7082782734        0.0000000000
       40.9277210455        0.0000000000
       41.1471638177        0.0000000000
       41.3666065898        0.0000000000
       41.5860493620        0.0000000000
       41.8054921341        0.0000000000
       42.0249349063        0.0000000000
       42.2443776784        0.0000000000
       42.4638204506        0.0000000000
       42.6832632227        0.0000000000
       42.9027059949        0.0000000000
