# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 861
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.26148 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000100       0.000000       0.000000       0.000000       0.000100       
41      0.000081       0.000000       0.000000       0.000000       0.000081       
68      0.000081       0.000000       0.000000       0.000000       0.000081       
144     0.000049       0.000000       0.000000       0.000000       0.000049       
173     0.000049       0.000000       0.000000       0.000000       0.000049       
215     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004773       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.46570 eV
atom    s              p_x            p_y            p_z            tot            
14      0.001600       0.000009       0.000016       0.000004       0.001629       
41      0.001521       0.000036       0.000000       0.000004       0.001561       
68      0.001521       0.000004       0.000049       0.000000       0.001574       
173     0.000361       0.000016       0.000000       0.000000       0.000377       
197     0.000361       0.000000       0.000000       0.000016       0.000377       
215     0.010000       0.000004       0.000000       0.000025       0.010029       
tot     0.018186       0.000130       0.000137       0.000095       0.993000

Band 3   energy = -7.23610 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000289       0.000000       0.000000       0.000000       0.000289       
51      0.000196       0.000000       0.000000       0.000000       0.000196       
80      0.000196       0.000000       0.000000       0.000000       0.000196       
140     0.000225       0.000000       0.000000       0.000000       0.000225       
163     0.000225       0.000000       0.000000       0.000000       0.000225       
210     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005258       0.000083       0.000076       0.000000       0.993000

Band 4   energy = -7.23563 eV
atom    s              p_x            p_y            p_z            tot            
31      0.000169       0.000000       0.000000       0.000000       0.000169       
40      0.000169       0.000000       0.000000       0.000000       0.000169       
49      0.000196       0.000000       0.000000       0.000000       0.000196       
56      0.000169       0.000000       0.000000       0.000000       0.000169       
65      0.000169       0.000000       0.000000       0.000000       0.000169       
74      0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005465       0.000008       0.000007       0.000157       0.993000

Band 5   energy = -7.22482 eV
atom    s              p_x            p_y            p_z            tot            
136     0.000169       0.000000       0.000000       0.000000       0.000169       
145     0.000169       0.000000       0.000000       0.000000       0.000169       
154     0.000196       0.000000       0.000000       0.000000       0.000196       
167     0.000169       0.000000       0.000000       0.000000       0.000169       
176     0.000169       0.000000       0.000000       0.000000       0.000169       
185     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.005463       0.000005       0.000005       0.000160       0.993000

Band 6   energy = -7.22014 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000225       0.000000       0.000000       0.000000       0.000225       
45      0.000256       0.000000       0.000000       0.000000       0.000256       
72      0.000256       0.000000       0.000000       0.000000       0.000256       
151     0.000225       0.000000       0.000000       0.000000       0.000225       
178     0.000225       0.000000       0.000000       0.000000       0.000225       
188     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005598       0.000085       0.000071       0.000000       0.993000

Band 7   energy = -7.15062 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000324       0.000000       0.000000       0.000000       0.000324       
46      0.000256       0.000001       0.000000       0.000000       0.000257       
73      0.000256       0.000000       0.000000       0.000000       0.000256       
99      0.000361       0.000000       0.000000       0.000000       0.000361       
125     0.000576       0.000000       0.000000       0.000000       0.000576       
192     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005881       0.000062       0.000061       0.000077       0.993000

Band 8   energy = -6.60740 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000441       0.000009       0.000025       0.000016       0.000491       
41      0.000441       0.000081       0.000000       0.000004       0.000526       
68      0.000441       0.000001       0.000100       0.000000       0.000542       
90      0.000784       0.000000       0.000000       0.000000       0.000784       
196     0.000484       0.000000       0.000000       0.000000       0.000484       
215     0.007225       0.000001       0.000000       0.000016       0.007242       
tot     0.012998       0.000198       0.000235       0.000174       0.993000

Band 9   energy = -6.23664 eV
atom    s              p_x            p_y            p_z            tot            
50      0.000324       0.000001       0.000000       0.000000       0.000325       
77      0.000324       0.000000       0.000001       0.000000       0.000325       
98      0.000441       0.000000       0.000000       0.000000       0.000441       
129     0.000676       0.000000       0.000000       0.000000       0.000676       
169     0.000225       0.000000       0.000000       0.000004       0.000229       
205     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005651       0.000053       0.000073       0.000280       0.992000

Band 10   energy = -6.23658 eV
atom    s              p_x            p_y            p_z            tot            
3       0.000256       0.000000       0.000000       0.000000       0.000256       
7       0.000256       0.000000       0.000000       0.000000       0.000256       
40      0.000225       0.000000       0.000000       0.000000       0.000225       
65      0.000225       0.000000       0.000000       0.000000       0.000225       
118     0.000256       0.000000       0.000000       0.000000       0.000256       
120     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005200       0.000234       0.000146       0.000038       0.992000

Band 11   energy = -6.23309 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000625       0.000000       0.000000       0.000000       0.000625       
82      0.000441       0.000000       0.000000       0.000000       0.000441       
108     0.000196       0.000000       0.000000       0.000004       0.000200       
148     0.000225       0.000004       0.000000       0.000000       0.000229       
177     0.000225       0.000000       0.000004       0.000000       0.000229       
188     0.000625       0.000000       0.000000       0.000000       0.000625       
tot     0.005418       0.000154       0.000143       0.000063       0.992000

Band 12   energy = -6.23281 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000256       0.000000       0.000001       0.000000       0.000257       
16      0.000225       0.000000       0.000000       0.000000       0.000225       
30      0.000196       0.000000       0.000000       0.000000       0.000196       
137     0.000361       0.000000       0.000000       0.000000       0.000361       
162     0.000400       0.000000       0.000000       0.000000       0.000400       
209     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005362       0.000107       0.000169       0.000083       0.992000

Band 13   energy = -6.23071 eV
atom    s              p_x            p_y            p_z            tot            
20      0.000361       0.000000       0.000000       0.000000       0.000361       
22      0.000361       0.000000       0.000000       0.000000       0.000361       
35      0.000441       0.000000       0.000000       0.000000       0.000441       
60      0.000441       0.000000       0.000000       0.000000       0.000441       
141     0.000289       0.000000       0.000000       0.000000       0.000289       
166     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.006138       0.000177       0.000174       0.000086       0.992000

Band 14   energy = -6.23048 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000256       0.000000       0.000000       0.000004       0.000260       
47      0.000144       0.000000       0.000000       0.000000       0.000144       
51      0.000324       0.000000       0.000000       0.000000       0.000324       
80      0.000324       0.000000       0.000000       0.000000       0.000324       
117     0.000441       0.000000       0.000000       0.000000       0.000441       
210     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.005009       0.000029       0.000015       0.000450       0.992000

Band 15   energy = -6.22046 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000196       0.000000       0.000000       0.000000       0.000196       
8       0.000196       0.000000       0.000000       0.000000       0.000196       
83      0.000256       0.000000       0.000000       0.000000       0.000256       
85      0.000256       0.000000       0.000000       0.000000       0.000256       
119     0.000256       0.000000       0.000000       0.000000       0.000256       
122     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004868       0.000175       0.000247       0.000023       0.992000

Band 16   energy = -6.20572 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000576       0.000000       0.000000       0.000000       0.000576       
63      0.000324       0.000000       0.000004       0.000000       0.000328       
99      0.000900       0.000000       0.000000       0.000000       0.000900       
116     0.000784       0.000000       0.000000       0.000000       0.000784       
143     0.000529       0.000000       0.000001       0.000000       0.000530       
170     0.000529       0.000000       0.000000       0.000000       0.000529       
tot     0.006665       0.000120       0.000113       0.000198       0.992000

Band 17   energy = -6.20272 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000256       0.000000       0.000000       0.000000       0.000256       
17      0.000256       0.000000       0.000000       0.000000       0.000256       
84      0.000256       0.000000       0.000000       0.000000       0.000256       
88      0.000256       0.000000       0.000000       0.000000       0.000256       
121     0.000361       0.000000       0.000000       0.000000       0.000361       
123     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.005439       0.000232       0.000201       0.000034       0.992000

Band 18   energy = -6.18859 eV
atom    s              p_x            p_y            p_z            tot            
43      0.000225       0.000001       0.000000       0.000000       0.000226       
59      0.000196       0.000000       0.000004       0.000000       0.000200       
66      0.000225       0.000000       0.000001       0.000000       0.000226       
86      0.000256       0.000000       0.000000       0.000000       0.000256       
107     0.000225       0.000000       0.000000       0.000001       0.000226       
