# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 863
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.33528 eV
tot     0.004566       0.000141       0.000243       0.000012       0.992000

Band 14   energy = -6.25932 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000484       0.000001       0.000000       0.000000       0.000485       
84      0.000625       0.000001       0.000000       0.000000       0.000626       
105     0.000256       0.000009       0.000000       0.000000       0.000265       
110     0.000256       0.000000       0.000000       0.000004       0.000260       
154     0.000400       0.000000       0.000004       0.000000       0.000404       
176     0.000784       0.000000       0.000000       0.000000       0.000784       
tot     0.006383       0.000151       0.000139       0.000064       0.992000

Band 15   energy = -6.25930 eV
atom    s              p_x            p_y            p_z            tot            
69      0.000441       0.000000       0.000000       0.000000       0.000441       
88      0.000529       0.000000       0.000000       0.000000       0.000529       
145     0.000676       0.000000       0.000000       0.000000       0.000676       
178     0.000256       0.000000       0.000000       0.000000       0.000256       
185     0.000400       0.000000       0.000000       0.000000       0.000400       
188     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.006459       0.000109       0.000106       0.000201       0.992000

Band 16   energy = -6.25498 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000400       0.000004       0.000000       0.000000       0.000404       
99      0.001024       0.000000       0.000000       0.000000       0.001024       
116     0.000961       0.000000       0.000000       0.000000       0.000961       
143     0.000484       0.000000       0.000004       0.000000       0.000488       
170     0.000484       0.000001       0.000000       0.000000       0.000485       
206     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.006730       0.000114       0.000097       0.000229       0.992000

Band 17   energy = -6.17228 eV
atom    s              p_x            p_y            p_z            tot            
46      0.000196       0.000004       0.000000       0.000000       0.000200       
105     0.000169       0.000009       0.000000       0.000000       0.000178       
123     0.000196       0.000000       0.000000       0.000000       0.000196       
131     0.000400       0.000000       0.000000       0.000000       0.000400       
136     0.000196       0.000000       0.000000       0.000000       0.000196       
208     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004781       0.000397       0.000073       0.000063       0.992000

Band 18   energy = -6.17224 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000169       0.000000       0.000004       0.000000       0.000173       
108     0.000324       0.000000       0.000000       0.000000       0.000324       
148     0.000225       0.000000       0.000000       0.000000       0.000225       
172     0.000289       0.000000       0.000000       0.000000       0.000289       
179     0.000225       0.000000       0.000000       0.000000       0.000225       
191     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.004804       0.000021       0.000236       0.000177       0.992000

Band 19   energy = -6.00200 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000121       0.000000       0.000000       0.000000       0.000121       
19      0.000400       0.000000       0.000000       0.000000       0.000400       
46      0.000400       0.000004       0.000000       0.000000       0.000404       
73      0.000400       0.000000       0.000004       0.000000       0.000404       
125     0.000961       0.000000       0.000000       0.000000       0.000961       
215     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.005465       0.000113       0.000073       0.000228       0.992000

Band 20   energy = -5.55583 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000144       0.000004       0.000000       0.000000       0.000148       
90      0.000169       0.000000       0.000000       0.000001       0.000170       
